,User,Tweet
94,VLRTRW,"🇮🇱🇺🇸 - Benjamin Netanyahu just had a phone call with the Croatian Prime Minister,Andrej Plenković 

“Croatia’s Prime Minister @AndrejPlenkovic and #Israel’s PM Benjamin Netanyahu confirm in phone call joint intention to further ..🇭🇷🇮🇱 “

https://t.co/41J5xia8MV https://t.co/dmZT6O6atE"
95,harminderdhatt,Devendra Fadnavis https://t.co/hqSnPf7pid of Maharashtra is right person for the job of https://t.co/CB3uSL25rp Minister we want MODI Ji as PM for 25 years more
96,RamblingBrook,"Principal Secretary to PM chairs high level meeting with Top Officials, Experts.
Reviews COVID status and compliance of previous directions of Prime Minister for ensuring Preparedness and Effective Management of COVID @MoHFW_INDIA @PMOIndia"
97,Sumit19870_,"Heeraben lived in Raysan village in Gandhinagar with the PM’s younger brother Pankaj.On Friday morning,the prime minister first went to her residence in Raysan, and then carried the bier with her mortal remains to the Muktidham crematorium in Gandhinagar."
98,DDNewslive,"Principal Secretary to PM chairs high level meeting with Top Officials, Experts. 

In the meeting, he reviews present COVID status and compliance of previous directions of Prime Minister @narendramodi for ensuring Preparedness and Effective Management of COVID.

@PMOIndia"
99,k22747414,Wasn't Brian Mulroney PM  @CPC_HQ  Prime Minister  when mortgage rates were 20 - 21 % in spite lying Pierre Poilievre saying it was Trudeau . I think poor Pierre is a habitual liar .
100,PBNS_India,"As the year ends, take a look at some memorable moments of Prime Minister @narendramodi from various events throughout the year.

PM Modi performs ‘Parikrama’ at Kedarnath Dham in Uttarakhand.' https://t.co/VbqoBIopAl"
101,NSweetLD,"September sees Liz Truss win the leadership contest and become the new Prime Minister. While in the commons the PM hears news of the queens deteriorating health,"
102,ZeeshanYousuf9,"@CMShehbaz @narendramodi Ridiculous govt! Pakistan minister one day accuses Modi as butcher of gujrat, and next day Pakistan PM pays condolences to Modi on twitter."
103,gujrraja,Houses Farmers Income Bullet Train What Prime Minister Narendra Modi Had Promised For 2022 - What PM Had Promised For 2022: कितनी सच हुईं 2022 के लिए कही गईं पीएम नरेंद्र मोदी की ये बातें- जानिए क्या थे वादे और क्या है हकीकत | Jansatta https://t.co/0yTDSKsgeG
104,RohitKu56762491,"Nitish Kumar makes veiled attack on RSS, PM Modi; says talks are all around about 'new father of modern India' Nitish vs BJP: Bihar Chief Minister Nitish Kumar, on Saturday, made a veiled attack on the Rashtriya Swayamsevak Sangh (RSS) and Prime Minister Narendra Modi.... ""F… https://t.co/m9NA8SuC2W"
105,DenscosaOf,@meowprincess546 I'm asking if is it that Denskland's PM Form aka Prime Minister Form
106,DenscosaOf,"@EsparinoRep Name: FROTDE
Gov: Socialist
Language: Esperanto, Densco, Densk, English
Leader/Prime minister/President: Artur Buko as PM and Licard Santos as the president
Size: an behind our regions
Location: Asia
Est/Independence: October 31, 2023
Originally est: October 31 2022
Best ally"
107,jules68bears,@RishiSunak This British government is treasonous! You are a fake WEF PM ! We have a Bill of Rights! Still in full force as her majesty Queen Elizabeth reiterated in parliament in 1988! YOU SIR ARE NOT ELIGIBLE TO BE PRIME MINISTER OF THIS COUNTRY! !
108,daybreakweekly,"Prime Minister Narendra Modi has reached Ahmedabad after his mother died early this morning. PM Modi 
Read More: https://t.co/Ilkm1fDd23 https://t.co/0N6Nc8WfBP"
109,GurudathShettyK,Thank You Home Minister @AmitShah for Resettlement of all Kashmiri Pandits by 2022. Kashmiri Pandits won't forget your invaluable help under the leadership of PM Modi 🙏 https://t.co/EubEJI8JIi
110,sweettalkin1970,"@Lance_Crossfire @billy73714489 @chumleywarner79 @TiceRichard Them with proof will be so small compared to the true reality of it.
I'll go back to what I was saying about Richard Tice. He wants to be Prime Minister, he will never be PM if they call him a conspiracy theorist, which they will.
It's the only issue he's not talking about 👍"
111,patelpriyesh_,"@Keir_Starmer You and your friends preferred the @Conservatives in Government in 2017 and 2019

You wanted the people of the UK to suffer

Just so that you could have a chance of being @UKLabour leader and then Prime Minister

On that basis alone you should never become PM"
112,hindu_desham,"Economic Times: US President Joe Biden condoles death of PM Modi's mother.
Several leaders, including prime ministers of Japan, Israel, Pakistan, Bangladesh and Nepal, on Friday condoled the demise of Prime Minister Modi's mother.
By PTI
https://t.co/57tSFklW6Q

via @GoogleNews"
